Please enter participant ID number,Democratic Presidential Primary,School,US House (District 8),US House (District 20),US House (District 25),U.S. House (District 27),U.S. House (District 28),U.S. House (District 29),U.S. House (District 30),US House (District 31),U.S. House (District 32),US House (District 33),U.S. House (District 34),U.S. House (District 37),U.S. House (District 38),U.S. House (District 40),US House (District 41),U.S. House (District 43),U.S. House (District 44),U.S. House (District 47),California Proposition 13
ABT1000,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1001,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1002,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1006,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1007,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1008,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1009,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1010,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1012,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1014,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1015,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1016,Elizabeth Warren (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1017,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1018,Tom Steyer (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1019,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1020,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1022,,Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
abt1023,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1024,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1025,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1026,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1027,Joe Biden (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1028,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1029,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
abt1030,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1031,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1033,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1034,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
abt1035,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1037,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1040,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1041,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1042,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1044,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1045,,Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1047,,Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1048,,Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1049,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
abt1050,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1051,,Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1058,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1059,Tom Steyer (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
abt1062,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1063,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1064,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1065,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1066,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1067,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Omar Navarro (R),,,Yes
ABT1071,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1072,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1073,Andrew Yang (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1075,Elizabeth Warren (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Joe Collins (R),,,Yes
ABT1076,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1079,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1084,Bernie Sanders (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1085,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
ABT1118,Michael Bloomberg (D),Alliance Burton Tech,,,,,,,,,,,,,,,,,,,Yes
ABT1119,Tom Steyer (D),Alliance Burton Tech,,,,,,,,,,,,,,,,Maxine Waters (D)(Incumbent),,,Yes
